Name,Club,Nationality,Position,Age,Matches,Starts,Mins,Goals,Assists,Passes_Attempted,Perc_Passes_Completed,Penalty_Goals,Penalty_Attempted,xG,xA,Yellow_Cards,Red_Cards,,,
Alex Iwobi,Everton,NGA,"FW,DF",24,30,17,1542,1,2,688,770,0,0,6,11,0,0,,,
Tom Davies,Everton,ENG,MF,22,25,17,1423,0,1,684,838,0,0,1,6,3,0,,,
Robin Olsen,Everton,SWE,GK,30,7,7,630,0,0,199,714,0,0,0,0,1,0,,,
Bernard,Everton,BRA,"MF,FW",27,12,3,455,1,0,272,794,0,0,4,13,2,0,,,
Fabian Delph,Everton,ENG,"MF,DF",30,8,2,266,0,0,234,880,0,0,1,3,1,0,,,
Anthony Gordon,Everton,ENG,"FW,MF",19,3,1,88,0,0,26,846,0,0,0,3,0,0,,,
Niels Nkounkou,Everton,FRA,"DF,FW",19,2,1,81,0,0,34,794,0,0,2,0,1,0,,,
Jonjoe Kenny,Everton,ENG,DF,23,4,1,79,0,0,61,770,0,0,0,0,0,0,,,
Joshua King,Everton,NOR,"MF,FW",28,11,0,148,0,0,48,708,0,0,48,0,0,0,,,
Cenk Tosun,Everton,TUR,FW,29,5,0,48,0,0,10,800,0,0,0,25,1,0,,,
João Virgínia,Everton,POR,GK,20,1,0,48,0,0,17,529,0,0,0,0,0,0,,,
Moise Kean,Everton,ITA,FW,20,2,0,15,0,0,9,778,0,0,21,0,0,0,,,
Theo Walcott,Everton,ENG,FW,31,1,0,13,0,0,1,1000,0,0,0,0,0,0,,,
Jean-Philippe Gbamin,Everton,CIV,MF,24,1,0,12,0,0,9,667,0,0,0,0,0,0,,,
Nathan Broadhead,Everton,WAL,MF,22,1,0,3,0,0,2,1000,0,0,0,0,0,0,,,
Emiliano Martínez,Aston Villa,ARG,GK,27,38,38,3420,0,0,1295,656,0,0,0,1,1,0,,,
Matt Targett,Aston Villa,ENG,DF,24,38,38,3404,0,2,2147,770,0,0,1,8,7,0,,,
John McGinn,Aston Villa,SCO,MF,25,37,37,3330,3,5,1398,773,0,0,6,8,12,0,,,
Ollie Watkins,Aston Villa,ENG,FW,24,37,37,3328,14,5,832,728,1,2,43,11,4,1,,,
Tyrone Mings,Aston Villa,ENG,DF,27,36,36,3194,2,2,1585,796,0,0,5,2,6,1,,,
Ezri Konsa,Aston Villa,ENG,DF,22,36,35,3196,2,0,1244,865,0,0,6,1,3,0,,,
Douglas Luiz,Aston Villa,BRA,MF,22,33,32,2781,0,2,1431,848,0,0,5,5,10,1,,,
Bertrand Traoré,Aston Villa,BFA,FW,24,36,29,2317,7,6,796,712,0,0,25,13,1,0,,,
Matty Cash,Aston Villa,ENG,DF,22,28,28,2372,0,2,1298,739,0,0,1,8,8,1,,,
Jack Grealish,Aston Villa,ENG,"FW,MF",24,26,24,2185,6,10,1100,785,0,0,18,35,6,0,,,
Ross Barkley,Aston Villa,ENG,MF,26,24,18,1531,3,1,764,810,0,0,19,21,0,0,,,
Anwar El Ghazi,Aston Villa,NED,FW,25,28,17,1613,10,0,613,705,4,4,45,13,2,0,,,
Trézéguet,Aston Villa,EGY,FW,25,21,12,1166,2,1,328,695,0,0,29,15,0,0,,,
Marvelous Nakamba,Aston Villa,ZIM,MF,26,13,9,749,0,0,273,857,0,0,0,0,3,0,,,
Ahmed Elmohamady,Aston Villa,EGY,DF,32,14,8,839,0,0,594,781,0,0,5,7,2,0,,,
Kortney Hause,Aston Villa,ENG,DF,25,7,7,630,1,0,216,782,0,0,17,0,2,0,,,
Jacob Ramsey,Aston Villa,ENG,MF,19,22,6,626,0,0,220,855,0,0,7,4,0,0,,,
Morgan Sanson,Aston Villa,FRA,MF,25,9,3,294,0,0,161,758,0,0,1,4,3,0,,,
Conor Hourihane,Aston Villa,IRL,MF,29,4,3,225,1,1,155,748,0,0,2,32,0,0,,,
Keinan Davis,Aston Villa,ENG,"FW,MF",22,15,1,277,1,1,79,734,0,0,34,16,0,0,,,
Carney Chukwuemeka,Aston Villa,ENG,"FW,MF",16,2,0,20,0,0,8,625,0,0,29,0,0,0,,,
Wesley Moraes,Aston Villa,BRA,"MF,FW",23,3,0,18,0,0,4,1000,0,0,12,0,0,0,,,
Neil Taylor,Aston Villa,WAL,DF,31,1,0,16,0,0,11,909,0,0,0,0,1,0,,,
Jaden Philogene Bidace,Aston Villa,ENG,FW,18,1,0,1,0,0,4,500,0,0,0,0,0,0,,,
Jonjo Shelvey,Newcastle United,ENG,MF,28,30,29,2617,1,3,1417,738,0,0,8,9,7,0,,,
Miguel Almirón,Newcastle United,PAR,"MF,FW",26,34,28,2429,4,1,877,811,0,0,12,1,3,0,,,
Karl Darlow,Newcastle United,ENG,GK,29,25,25,2250,0,0,726,501,0,0,0,0,3,0,,,
Federico Fernández,Newcastle United,ARG,DF,31,24,24,2079,0,0,837,802,0,0,1,1,4,0,,,
Callum Wilson,Newcastle United,ENG,FW,28,26,23,2084,12,5,366,697,4,4,49,1,2,0,,,
Joelinton,Newcastle United,BRA,"FW,MF",23,31,23,1983,4,2,590,739,1,1,27,1,3,0,,,
Isaac Hayden,Newcastle United,ENG,"MF,DF",25,24,22,1942,0,0,790,796,0,0,2,2,8,0,,,
Ciaran Clark,Newcastle United,IRL,DF,30,22,21,1891,1,0,747,830,0,0,2,0,3,0,,,
Jamal Lewis,Newcastle United,NIR,DF,22,24,20,1837,0,1,833,762,0,0,1,8,4,0,,,
Jamaal Lascelles,Newcastle United,ENG,DF,26,19,19,1625,2,0,599,813,0,0,5,0,4,0,,,
Allan Saint-Maximin,Newcastle United,FRA,"FW,MF",23,25,19,1560,3,4,436,798,0,0,15,19,0,0,,,
Jacob Murphy,Newcastle United,ENG,"DF,MF",25,26,17,1626,2,3,608,684,0,0,7,12,3,0,,,
Jeff Hendrick,Newcastle United,IRL,MF,28,22,17,1422,2,1,533,805,0,0,7,5,3,1,,,
Sean Longstaff,Newcastle United,ENG,MF,22,22,15,1412,0,1,571,790,0,0,9,7,2,0,,,
Matt Ritchie,Newcastle United,SCO,"DF,MF",30,18,15,1350,0,2,607,677,0,0,3,1,2,0,,,
Emil Krafth,Newcastle United,SWE,DF,25,16,14,1288,1,0,557,725,0,0,1,3,4,0,,,
Paul Dummett,Newcastle United,WAL,DF,28,15,14,1255,1,0,534,768,0,0,2,4,2,0,,,
Fabian Schär,Newcastle United,SUI,DF,28,18,13,1246,1,0,583,777,1,1,8,0,4,1,,,
Martin Dúbravka,Newcastle United,SVK,GK,31,13,13,1170,0,0,427,726,0,0,0,0,0,0,,,
Joe Willock,Newcastle United,ENG,MF,20,14,11,978,8,0,235,770,0,1,33,7,0,0,,,
Javier Manquillo,Newcastle United,ESP,DF,26,13,10,825,0,0,400,740,0,0,0,3,1,0,,,
Ryan Fraser,Newcastle United,SCO,"FW,MF",26,18,9,928,0,2,369,659,0,0,9,2,2,1,,,
DeAndre Yedlin,Newcastle United,USA,DF,27,6,5,436,0,0,172,645,0,0,1,2,0,0,,,
Dwight Gayle,Newcastle United,ENG,"FW,MF",29,18,4,514,1,1,114,798,0,0,36,9,0,0,,,
Andy Carroll,Newcastle United,ENG,FW,31,18,4,392,1,0,141,631,0,0,27,2,1,0,,,
Matthew Longstaff,Newcastle United,ENG,MF,20,5,4,377,0,0,148,791,0,0,0,2,0,0,,,
Elliot Anderson,Newcastle United,SCO,MF,17,1,0,4,0,0,1,1000,0,0,0,0,0,0,,,
Rui Patrício,Wolverhampton Wanderers,POR,GK,32,37,37,3329,0,0,801,667,0,0,0,0,1,0,,,
Conor Coady,Wolverhampton Wanderers,ENG,DF,27,37,37,3303,1,0,1789,881,0,0,3,0,5,0,,,
Nélson Semedo,Wolverhampton Wanderers,POR,DF,26,34,34,2983,1,1,1892,814,0,0,6,3,5,0,,,
Rúben Neves,Wolverhampton Wanderers,POR,MF,23,36,31,2675,5,1,1937,843,3,3,17,7,8,0,,,
Pedro Neto,Wolverhampton Wanderers,POR,"FW,MF",20,31,30,2550,5,6,1212,788,0,0,17,22,4,0,,,
Adama Traoré,Wolverhampton Wanderers,ESP,FW,24,37,28,2649,2,2,879,659,0,0,8,18,4,0,,,
João Moutinho,Wolverhampton Wanderers,POR,MF,33,33,28,2528,1,1,1817,848,0,0,2,9,5,1,,,
Leander Dendoncker,Wolverhampton Wanderers,BEL,"MF,DF",25,33,28,2503,1,0,1162,879,0,0,12,3,4,0,,,
Romain Saïss,Wolverhampton Wanderers,MAR,DF,30,27,27,2407,3,0,1411,820,0,0,13,1,2,0,,,
Daniel Podence,Wolverhampton Wanderers,POR,"MF,FW",24,24,22,1661,3,2,636,752,0,0,17,1,3,0,,,
Willy Boly,Wolverhampton Wanderers,CIV,DF,29,21,21,1879,1,1,1003,828,0,0,5,2,2,0,,,
Rayan Aït Nouri,Wolverhampton Wanderers,FRA,DF,19,21,16,1404,1,1,785,837,0,0,4,6,1,0,,,
Max Kilman,Wolverhampton Wanderers,ENG,DF,23,18,14,1310,0,1,731,886,0,0,3,4,4,0,,,
Willian José,Wolverhampton Wanderers,BRA,FW,28,17,12,1110,1,0,306,814,0,0,15,5,0,0,,,
Fábio Silva,Wolverhampton Wanderers,POR,FW,18,32,11,1369,4,3,305,744,1,1,4,4,2,0,,,
Raúl Jiménez,Wolverhampton Wanderers,MEX,FW,29,10,10,823,4,0,263,787,0,0,26,8,0,0,,,
Fernando Marçal,Wolverhampton Wanderers,BRA,DF,31,13,7,623,0,0,370,827,0,0,1,2,2,0,,,
Jonny Castro,Wolverhampton Wanderers,ESP,DF,26,7,7,495,0,0,239,787,0,0,1,3,0,0,,,
Ki-Jana Hoever,Wolverhampton Wanderers,NED,DF,18,12,5,577,0,0,350,743,0,0,1,3,1,0,,,
Vitinha,Wolverhampton Wanderers,POR,MF,20,19,5,520,0,1,329,878,0,0,1,12,0,0,,,
Morgan Gibbs-White,Wolverhampton Wanderers,ENG,"FW,MF",20,11,4,414,1,0,235,809,0,0,21,13,1,0,,,
Owen Otasowie,Wolverhampton Wanderers,USA,"MF,FW",19,6,2,187,0,1,64,703,0,0,27,7,1,0,,,
Rúben Vinagre,Wolverhampton Wanderers,POR,DF,21,2,1,173,0,0,98,837,0,0,0,0,0,0,,,
John Ruddy,Wolverhampton Wanderers,ENG,GK,33,2,1,91,0,0,24,792,0,0,0,0,0,0,,,
Patrick Cutrone,Wolverhampton Wanderers,ITA,"FW,MF",22,2,0,25,0,0,5,800,0,0,61,0,0,0,,,
Oskar Buur,Wolverhampton Wanderers,DEN,DF,22,1,0,22,0,0,15,933,0,0,0,0,0,0,,,
Theo Corbeanu,Wolverhampton Wanderers,CAN,FW,18,1,0,9,0,0,3,1000,0,0,0,9,0,0,,,
Vicente Guaita,Crystal Palace,ESP,GK,33,37,37,3330,0,0,1080,554,0,0,0,0,2,0,,,
Cheikhou Kouyaté,Crystal Palace,SEN,DF,30,36,35,3121,1,0,1216,788,0,0,2,1,4,0,,,
Wilfried Zaha,Crystal Palace,CIV,FW,27,30,29,2612,11,2,779,759,2,2,26,11,6,0,,,
Eberechi Eze,Crystal Palace,ENG,MF,22,34,29,2559,4,6,1158,793,0,0,8,1,3,0,,,
Luka Milivojević,Crystal Palace,SRB,MF,29,31,27,2359,1,1,1269,811,1,2,9,5,8,1,,,
Andros Townsend,Crystal Palace,ENG,"MF,FW",29,34,25,2258,1,5,864,679,0,0,9,15,0,0,,,
Joel Ward,Crystal Palace,ENG,DF,30,26,25,2256,0,1,1079,727,0,0,0,2,5,0,,,
Jordan Ayew,Crystal Palace,GHA,"FW,MF",28,33,23,2096,1,3,654,786,0,0,1,3,4,0,,,
Christian Benteke,Crystal Palace,BEL,FW,29,30,21,1816,10,1,574,638,0,0,4,5,3,1,,,
Gary Cahill,Crystal Palace,ENG,DF,34,20,20,1800,1,1,697,846,0,0,4,4,3,0,,,
Patrick van Aanholt,Crystal Palace,NED,DF,29,22,20,1777,0,1,1127,789,0,0,6,4,2,0,,,
Jaïro Riedewald,Crystal Palace,NED,MF,23,33,19,1820,2,0,628,849,0,0,3,5,4,0,,,
Tyrick Mitchell,Crystal Palace,ENG,DF,20,19,19,1710,1,1,779,702,0,0,2,2,1,0,,,
James McArthur,Crystal Palace,SCO,MF,32,18,17,1466,0,2,769,815,0,0,1,5,3,0,,,
Jeffrey Schlupp,Crystal Palace,GHA,MF,27,27,15,1428,2,3,429,709,0,0,1,11,3,0,,,
Scott Dann,Crystal Palace,ENG,DF,33,15,15,1350,1,0,604,841,0,0,2,0,1,0,,,
Nathaniel Clyne,Crystal Palace,ENG,DF,29,13,13,1145,0,1,569,768,0,0,1,3,2,0,,,
James McCarthy,Crystal Palace,IRL,MF,29,16,10,821,0,0,329,772,0,0,0,3,1,0,,,
Michy Batshuayi,Crystal Palace,BEL,FW,26,18,7,728,2,1,168,702,0,0,17,18,0,0,,,
James Tomkins,Crystal Palace,ENG,DF,31,8,6,553,0,0,164,787,0,0,3,1,1,0,,,
Mamadou Sakho,Crystal Palace,FRA,DF,30,4,3,276,0,0,82,878,0,0,1,0,0,0,,,
Jean-Philippe Mateta,Crystal Palace,FRA,FW,23,7,2,221,1,0,51,608,0,0,8,1,0,0,,,
Jack Butland,Crystal Palace,ENG,GK,27,1,1,90,0,0,21,286,0,0,0,0,0,0,,,
Martin Kelly,Crystal Palace,ENG,DF,30,1,0,2,0,0,2,1000,0,0,0,0,0,0,,,
James Ward-Prowse,Southampton,ENG,MF,25,38,38,3420,8,7,2619,808,3,4,14,11,5,0,,,
Jan Bednarek,Southampton,POL,DF,24,36,36,3100,1,1,2005,846,0,0,3,1,5,1,,,
Stuart Armstrong,Southampton,SCO,MF,28,33,32,2764,4,5,1258,797,0,0,1,9,3,0,,,
Alex McCarthy,Southampton,ENG,GK,30,30,30,2700,0,0,1069,643,0,0,0,0,2,0,,,
Che Adams,Southampton,SCO,FW,24,36,30,2667,9,5,633,700,0,0,3,19,1,0,,,
Kyle Walker-Peters,Southampton,ENG,DF,23,30,30,2645,0,2,1613,803,0,0,3,5,4,0,,,
Ryan Bertrand,Southampton,ENG,DF,30,29,29,2598,0,1,1537,768,0,0,2,4,5,0,,,
Jannik Vestergaard,Southampton,DEN,DF,27,30,29,2574,3,0,1712,843,0,0,7,2,3,1,,,
Danny Ings,Southampton,ENG,FW,28,29,26,2173,12,4,519,663,2,2,34,11,1,0,,,
Oriol Romeu,Southampton,ESP,MF,28,21,20,1763,1,1,1258,828,0,0,2,5,6,0,,,
Theo Walcott,Southampton,ENG,"MF,FW",31,21,20,1618,3,3,424,724,0,0,17,7,0,0,,,
Nathan Redmond,Southampton,ENG,"MF,FW",26,29,17,1738,2,3,743,759,0,0,17,17,1,0,,,
Jack Stephens,Southampton,ENG,DF,26,18,17,1537,0,0,1016,832,0,0,4,3,2,0,,,
Moussa Djenepo,Southampton,MLI,MF,22,27,15,1240,1,0,400,738,0,0,7,4,5,0,,,
Ibrahima Diallo,Southampton,FRA,MF,21,22,10,1020,0,0,587,852,0,0,5,5,3,0,,,
Takumi Minamino,Southampton,JPN,"MF,FW",25,10,9,711,2,0,257,724,0,0,15,7,1,0,,,
Mohammed Salisu,Southampton,GHA,DF,21,12,8,844,0,0,376,824,0,0,4,0,1,0,,,
Fraser Forster,Southampton,ENG,GK,32,8,8,720,0,0,274,562,0,0,0,0,0,0,,,
Nathan Tella,Southampton,ENG,"FW,MF",21,18,7,745,1,1,146,733,0,0,22,9,2,0,,,
William Smallbone,Southampton,IRL,MF,20,3,2,172,0,0,78,821,0,0,4,0,0,0,,,
Shane Long,Southampton,IRL,"FW,MF",33,11,1,210,0,0,59,644,0,0,2,0,0,0,,,
Yan Valery,Southampton,FRA,"DF,MF",21,3,1,103,0,0,64,828,0,0,27,0,0,0,,,
Kayne Ramsey,Southampton,ENG,DF,19,1,1,90,0,0,26,692,0,0,0,0,1,0,,,
Jake Vokins,Southampton,ENG,DF,20,1,1,66,0,0,22,909,0,0,0,22,0,0,,,
Alexandre Jankewitz,Southampton,SUI,MF,18,2,1,3,0,0,3,667,0,0,0,0,0,1,,,
Dan Nlundulu,Southampton,ENG,FW,21,13,0,111,0,0,33,667,0,0,8,2,0,0,,,
Michael Obafemi,Southampton,IRL,FW,20,4,0,61,0,0,15,867,0,0,0,16,0,0,,,
Caleb Watts,Southampton,AUS,"MF,FW",18,3,0,39,0,0,13,615,0,0,0,0,1,0,,,
Allan Tchaptchet,Southampton,FRA,DF,18,1,0,13,0,0,2,0,0,0,0,0,0,0,,,
Ben White,Brighton,ENG,"DF,MF",22,36,36,3191,0,0,1766,832,0,0,2,2,5,1,,,
Yves Bissouma,Brighton,MLI,MF,23,36,35,3111,1,0,1676,872,0,0,4,3,8,1,,,
Lewis Dunk,Brighton,ENG,DF,28,33,33,2931,5,0,2151,900,0,0,8,3,5,2,,,
Leandro Trossard,Brighton,BEL,"FW,MF",25,35,30,2607,5,5,1085,749,0,0,18,15,2,0,,,
Adam Webster,Brighton,ENG,DF,25,29,29,2594,1,0,1794,827,0,0,4,1,4,0,,,
Neal Maupay,Brighton,FRA,"FW,MF",23,33,29,2512,8,2,656,774,3,4,46,13,1,1,,,
Pascal Groß,Brighton,GER,"MF,DF",29,34,27,2484,3,8,1669,755,3,4,2,2,3,0,,,
Robert Sánchez,Brighton,ESP,GK,22,27,27,2430,0,0,1095,716,0,0,0,0,2,0,,,
Joël Veltman,Brighton,NED,DF,28,28,25,2281,1,1,1491,773,0,0,5,4,3,0,,,
Dan Burn,Brighton,ENG,DF,28,27,23,2061,1,0,1242,767,0,0,6,4,5,0,,,
Solly March,Brighton,ENG,DF,26,21,19,1672,2,1,975,698,0,0,9,9,0,0,,,
Danny Welbeck,Brighton,ENG,FW,29,24,17,1545,6,1,268,817,0,1,39,13,0,0,,,
Adam Lallana,Brighton,ENG,"MF,FW",32,30,16,1596,1,1,936,847,0,0,14,16,0,0,,,
Alexis Mac Allister,Brighton,ARG,"MF,FW",21,21,13,1115,1,1,407,794,0,0,9,19,1,0,,,
Mathew Ryan,Brighton,AUS,GK,28,11,11,990,0,0,399,787,0,0,0,0,1,0,,,
Tariq Lamptey,Brighton,ENG,DF,19,11,11,886,1,1,500,780,0,0,6,11,4,1,,,
Steven Alzate,Brighton,COL,"MF,DF",21,15,10,896,1,0,446,895,0,0,7,5,2,0,,,
Aaron Connolly,Brighton,IRL,FW,20,17,9,791,2,1,101,782,0,0,4,2,0,0,,,
Jakub Moder,Brighton,POL,"DF,MF",21,12,7,647,0,0,268,746,0,0,12,2,0,0,,,
Alireza Jahanbakhsh,Brighton,IRN,"FW,MF",26,21,6,528,0,1,265,740,0,0,28,54,3,0,,,
Davy Pröpper,Brighton,NED,MF,28,7,2,213,0,0,96,760,0,0,4,0,0,0,,,
Bernardo,Brighton,BRA,"DF,MF",25,3,2,206,0,0,87,713,0,0,13,9,0,0,,,
Percy Tau,Brighton,RSA,"FW,MF",26,3,1,103,0,1,29,759,0,0,0,27,0,0,,,
Andi Zeqiri,Brighton,SUI,"FW,DF",21,9,0,171,0,0,43,465,0,0,33,4,0,0,,,
José Izquierdo,Brighton,COL,"DF,MF",28,1,0,9,0,0,9,889,0,0,12,0,0,0,,,
Reda Khadra,Brighton,GER,FW,19,1,0,5,0,0,1,0,0,0,0,0,0,0,,,
Jayson Molumby,Brighton,IRL,MF,20,1,0,1,0,0,1,0,0,0,0,0,0,0,,,
Ashley Westwood,Burnley,ENG,MF,30,38,38,3410,3,3,2125,737,0,0,3,13,7,0,,,
James Tarkowski,Burnley,ENG,DF,27,36,36,3240,1,0,1167,720,0,0,7,2,6,0,,,
Dwight McNeil,Burnley,ENG,MF,20,36,34,3069,2,5,1336,689,0,0,3,19,1,0,,,
Matthew Lowton,Burnley,ENG,DF,31,34,34,3060,1,1,1498,688,0,0,2,7,5,0,,,
Nick Pope,Burnley,ENG,GK,28,32,32,2880,0,0,979,507,0,0,0,1,1,0,,,
Josh Brownhill,Burnley,ENG,MF,24,33,32,2813,0,1,1187,790,0,0,6,4,2,0,,,
Chris Wood,Burnley,NZL,FW,28,33,32,2741,12,3,658,669,2,2,44,7,0,0,,,
Ben Mee,Burnley,ENG,DF,30,30,30,2693,2,0,1044,751,0,0,6,1,3,0,,,
Charlie Taylor,Burnley,ENG,DF,26,29,28,2426,0,1,1298,699,0,0,0,7,1,0,,,
Jóhann Berg Guðmundsson,Burnley,ISL,MF,29,22,16,1363,2,0,472,754,0,0,11,3,2,0,,,
Matěj Vydra,Burnley,CZE,FW,28,28,15,1371,3,2,266,726,0,0,4,12,0,0,,,
Jack Cork,Burnley,ENG,MF,31,16,15,1350,0,0,499,826,0,0,2,2,2,0,,,
Ashley Barnes,Burnley,ENG,FW,30,22,15,1331,3,0,307,635,1,1,35,4,4,0,,,
Erik Pieters,Burnley,NED,"DF,MF",31,20,13,1266,0,1,580,748,0,0,1,3,1,0,,,
Jay Rodriguez,Burnley,ENG,"FW,MF",31,31,12,1265,1,2,283,735,0,0,16,12,3,0,,,
Robbie Brady,Burnley,IRL,MF,28,19,12,1052,1,1,393,677,0,0,7,8,3,0,,,
Kevin Long,Burnley,IRL,DF,29,8,7,637,0,0,255,710,0,0,4,0,2,0,,,
Bailey Peacock-Farrell,Burnley,NIR,GK,23,4,4,360,0,0,113,513,0,0,0,0,0,0,,,
Phil Bardsley,Burnley,SCO,DF,35,4,3,274,0,0,165,703,0,0,4,0,2,0,,,
Jimmy Dunne,Burnley,IRL,DF,22,3,3,270,1,0,146,712,0,0,14,4,1,0,,,
Dale Stephens,Burnley,ENG,MF,31,7,3,261,0,0,124,831,0,0,6,0,1,0,,,
Josh Benson,Burnley,ENG,MF,20,6,2,264,0,0,85,729,0,0,6,0,0,0,,,
Will Norris,Burnley,ENG,GK,26,2,2,180,0,0,56,482,0,0,0,4,0,0,,,
Joel Mumbongo,Burnley,SWE,FW,21,4,0,40,0,0,6,833,0,0,0,0,1,0,,,
Lewis Richardson,Burnley,ENG,"FW,MF",17,2,0,4,0,0,1,0,0,0,0,0,0,0,,,
Alphonse Areola,Fulham,FRA,GK,27,36,36,3240,0,0,1001,736,0,0,0,0,2,0,,,
Tosin Adarabioyo,Fulham,ENG,DF,22,33,33,2953,0,0,1824,874,0,0,3,1,1,0,,,
Ademola Lookman,Fulham,ENG,"FW,MF",22,34,31,2747,4,4,1168,753,0,1,18,17,5,0,,,
Ola Aina,Fulham,NGA,DF,23,31,31,2664,2,1,1711,777,0,0,3,5,3,0,,,
Joachim Andersen,Fulham,DEN,DF,24,31,30,2730,1,1,1833,834,0,0,4,2,7,1,,,
Andre-Frank Zambo Anguissa,Fulham,CMR,MF,24,36,29,2587,0,3,1410,849,0,0,6,8,6,0,,,
Bobby Reid,Fulham,JAM,"MF,DF",27,33,28,2372,5,2,826,741,0,0,18,5,7,0,,,
Ivan Cavaleiro,Fulham,POR,"FW,MF",26,36,27,2472,3,0,834,719,1,2,2,12,2,0,,,
Harrison Reed,Fulham,ENG,MF,25,31,26,2247,0,2,1460,864,0,0,1,6,5,0,,,
Antonee Robinson,Fulham,USA,DF,22,28,24,2162,0,0,1352,726,0,0,2,7,4,1,,,
Ruben Loftus-Cheek,Fulham,ENG,"MF,FW",24,30,21,1909,1,0,716,831,0,0,15,7,3,0,,,
Mario Lemina,Fulham,GAB,MF,26,28,19,1703,1,0,860,853,0,0,5,4,5,0,,,
Kenny Tete,Fulham,NED,DF,24,22,18,1481,0,1,863,744,0,0,1,1,3,0,,,
Aleksandar Mitrović,Fulham,SRB,FW,25,27,13,1402,3,3,384,760,1,2,42,17,3,0,,,
Josh Maja,Fulham,NGA,"FW,MF",21,15,9,810,3,0,179,877,1,1,53,12,0,0,,,
Tom Cairney,Fulham,SCO,MF,29,10,9,759,1,1,621,887,0,0,8,17,2,0,,,
Joe Bryan,Fulham,ENG,"DF,FW",26,16,7,669,1,0,420,702,0,0,5,6,2,0,,,
Tim Ream,Fulham,USA,DF,32,7,7,630,0,0,434,912,0,0,0,0,0,0,,,
Josh Onomah,Fulham,ENG,MF,23,11,4,374,0,0,166,898,0,0,15,1,1,0,,,
Denis Odoi,Fulham,BEL,DF,32,3,3,270,0,0,185,827,0,0,3,2,1,0,,,
Michael Hector,Fulham,JAM,DF,28,4,3,263,0,0,175,794,0,0,3,1,2,0,,,
Fabio Carvalho,Fulham,ENG,"MF,FW",17,4,3,255,1,0,86,779,0,0,4,13,0,0,,,
Aboubakar Kamara,Fulham,MTN,"FW,DF",25,11,2,315,0,0,128,719,0,0,11,11,1,1,,,
Marek Rodák,Fulham,SVK,GK,23,2,2,180,0,0,46,804,0,0,0,0,0,0,,,
Maxime Le Marchand,Fulham,FRA,DF,30,2,1,123,0,0,82,951,0,0,1,0,2,0,,,
Neeskens Kebano,Fulham,COD,"FW,MF",28,5,1,119,0,0,42,786,0,0,22,0,0,0,,,
Terence Kongolo,Fulham,NED,DF,26,1,1,90,0,0,39,949,0,0,0,3,0,0,,,
Tyrese Francois,Fulham,AUS,DF,20,1,0,15,0,0,15,933,0,0,0,0,0,0,,,
Sam Johnstone,West Bromwich Albion,ENG,GK,27,37,37,3330,0,1,1282,499,0,0,0,1,1,0,,,
Darnell Furlong,West Bromwich Albion,ENG,DF,24,35,32,2932,1,3,1177,595,0,0,6,6,5,0,,,
Semi Ajayi,West Bromwich Albion,NGA,DF,26,33,31,2780,2,0,948,744,0,0,4,1,3,1,,,
Matheus Pereira,West Bromwich Albion,BRA,"MF,FW",24,33,30,2577,11,6,1066,718,4,4,25,19,2,1,,,
Kyle Bartley,West Bromwich Albion,ENG,DF,29,30,28,2584,3,1,809,779,0,0,7,1,4,0,,,
Conor Gallagher,West Bromwich Albion,ENG,MF,20,30,28,2531,2,2,954,778,0,0,6,6,11,0,,,
Conor Townsend,West Bromwich Albion,ENG,DF,27,25,25,2234,0,2,1176,749,0,0,4,9,0,0,,,
Dara O'Shea,West Bromwich Albion,IRL,DF,21,28,25,2102,0,0,857,660,0,0,1,1,3,0,,,
Matt Phillips,West Bromwich Albion,SCO,MF,29,33,20,1828,2,1,567,693,0,0,12,15,1,0,,,
Callum Robinson,West Bromwich Albion,IRL,"FW,MF",25,28,20,1560,5,0,450,709,0,0,18,5,0,0,,,
Romaine Sawyers,West Bromwich Albion,SKN,MF,28,19,17,1487,0,0,712,850,0,0,1,2,2,0,,,
Okay Yokuşlu,West Bromwich Albion,TUR,MF,26,16,15,1317,0,1,530,832,0,0,6,4,4,0,,,
Jake Livermore,West Bromwich Albion,ENG,MF,30,18,15,1242,0,0,381,743,0,0,2,2,2,1,,,
Grady Diangana,West Bromwich Albion,ENG,"MF,FW",22,20,15,1235,1,0,351,729,0,0,9,1,0,0,,,
Ainsley Maitland-Niles,West Bromwich Albion,ENG,MF,22,15,14,1230,0,0,402,764,0,0,5,5,2,0,,,
Mbaye Diagne,West Bromwich Albion,SEN,FW,28,16,14,1189,3,2,230,704,0,0,38,13,2,0,,,
Karlan Grant,West Bromwich Albion,ENG,"FW,MF",22,21,14,1127,1,0,228,732,0,0,17,0,1,0,,,
Kieran Gibbs,West Bromwich Albion,ENG,DF,30,10,9,809,0,0,309,722,0,0,1,3,1,1,,,
Branislav Ivanović,West Bromwich Albion,SRB,DF,36,13,8,767,0,0,311,852,0,0,6,1,2,0,,,
Robert Snodgrass,West Bromwich Albion,SCO,"MF,FW",32,8,6,526,0,0,133,789,0,0,3,6,2,0,,,
Filip Krovinović,West Bromwich Albion,CRO,MF,24,11,5,546,0,0,365,844,0,0,4,5,0,0,,,
Lee Peltier,West Bromwich Albion,ENG,DF,33,4,3,229,0,0,76,632,0,0,0,0,1,0,,,
Hal Robson-Kanu,West Bromwich Albion,WAL,FW,31,19,2,561,2,0,86,744,0,0,24,6,2,0,,,
